"","V1","Code","Name"
"1","146","USD","United States Dollar"
"2","26","CAD","Canada Dollar"
"3","44","EUR","Euro Member Countries"
"4","47","GBP","United Kingdom Pound"
"5","8","AUD","Australia Dollar"
"6","1","AED","United Arab Emirates Dirham"
"7","2","AFN","Afghanistan Afghani"
"8","3","ALL","Albania Lek"
"9","4","AMD","Armenia Dram"
"10","5","ANG","Netherlands Antilles Guilder"
"11","6","AOA","Angola Kwanza"
"12","7","ARS","Argentina Peso"
"13","9","AWG","Aruba Guilder"
"14","10","AZN","Azerbaijan New Manat"
"15","11","BAM","Bosnia and Herzegovina Convertible Marka"
"16","12","BBD","Barbados Dollar"
"17","13","BDT","Bangladesh Taka"
"18","14","BGN","Bulgaria Lev"
"19","15","BHD","Bahrain Dinar"
"20","16","BIF","Burundi Franc"
"21","17","BMD","Bermuda Dollar"
"22","18","BND","Brunei Darussalam Dollar"
"23","19","BOB","Bolivia Bolíviano"
"24","20","BRL","Brazil Real"
"25","21","BSD","Bahamas Dollar"
"26","22","BTN","Bhutan Ngultrum"
"27","23","BWP","Botswana Pula"
"28","24","BYN","Belarus Ruble"
"29","25","BZD","Belize Dollar"
"30","27","CDF","Congo/Kinshasa Franc"
"31","28","CHF","Switzerland Franc"
"32","29","CLP","Chile Peso"
"33","30","CNY","China Yuan Renminbi"
"34","31","COP","Colombia Peso"
"35","32","CRC","Costa Rica Colon"
"36","33","CUC","Cuba Convertible Peso"
"37","34","CUP","Cuba Peso"
"38","35","CVE","Cape Verde Escudo"
"39","36","CZK","Czech Republic Koruna"
"40","37","DJF","Djibouti Franc"
"41","38","DKK","Denmark Krone"
"42","39","DOP","Dominican Republic Peso"
"43","40","DZD","Algeria Dinar"
"44","41","EGP","Egypt Pound"
"45","42","ERN","Eritrea Nakfa"
"46","43","ETB","Ethiopia Birr"
"47","45","FJD","Fiji Dollar"
"48","46","FKP","Falkland Islands (Malvinas) Pound"
"49","48","GEL","Georgia Lari"
"50","49","GGP","Guernsey Pound"
"51","50","GHS","Ghana Cedi"
"52","51","GIP","Gibraltar Pound"
"53","52","GMD","Gambia Dalasi"
"54","53","GNF","Guinea Franc"
"55","54","GTQ","Guatemala Quetzal"
